,junsi_name,start,end,place
0,환영 幻影 : 실재와 환상의 사이,2021.05.11.,2021.07.30.,갤러리 구조
1,STREET NOISE,2021.02.26.,2021.06.13.,롯데월드몰
2,2020 미래작가상,2021.05.27.,2021.06.27.,캐논갤러리
3,색동옷을 입은 아이들,2021.06.01.,2021.08.14.,한국색동박물관
4,나의 꽃은 가깝고 낯설다,2021.05.25.,2021.07.10.,코리아나미술관
5,Theater of Voices,2021.05.25.,2021.07.24.,성북예술창작터
6,차종례 : 드러내기 드러나기,2021.05.25.,2021.07.24.,갤러리 오 스퀘어
7,김우영 : Poetics of Tranquility,2021.05.05.,2021.06.12.,JJ중정갤러리
8,신유라 : SO.S(Sarubia Outreach & Support),2021.05.19.,2021.06.18.,프로젝트 스페이스 사루비아
9,잉고 바움가르텐 : just painting,2021.05.28.,2021.07.10.,갤러리JJ
10,Everything & The Art(s)...,2021.05.07.,2021.06.30.,더페이지갤러리
11,최경주 : Melting Point,2021.05.21.,2021.07.10.,엔에이
12,풀,2021.05.21.,2021.07.03.,프로젝트스페이스미음
13,2021 대안영상예술 공공예술프로젝트: 마을가게미술관 시즌2,2021.05.27.,2021.06.26.,명지대 인근 마을 가게 공간
14,고지영 : The calm in Green,2021.05.20.,2021.07.16.,서울프린스호텔
15,이형구 : 화학적인,2021.05.26.,2021.06.30.,두산갤러리
16,집의 영도,2021.05.26.,2021.06.27.,무신사 테라스
17,"기억, 잃어버린 역사의 흔적을 찾아서",2021.05.18.,2021.08.18.,근현대사기념관
18,환상게임 : 바라캇 이집트 보물전,2021.05.18.,2021.08.31.,바라캇 서울
19,정서윤 : Touching Stardust,2021.05.17.,2021.06.19.,카페1257
20,호스트 모디드,2021.05.20.,2021.07.11.,아트선재센터
21,송형노 : With Love,2021.05.17.,2021.06.18.,KT&G상상마당 대치
22,IRO : Old Capitalism,2021.05.12.,2021.06.12.,갤러리 그라운드 시소
23,강민숙 : Soothing Songs from an Alien,2021.05.13.,2021.06.16.,송은아트큐브
24,"민율 : 나무 위 의자, 의자 위 숲",2021.05.11.,2021.07.04.,생활지음 라운지
25,David Hockney X Julian Opie,2021.05.28.,2021.06.30.,라인라운지
26,위로의 감각 (Sense of Consolation) : 글을 향기로 말한다면,2021.05.20.,2021.08.31.,누하스 아뜰리에
27,Balanced Vol.3,2021.05.13.,2021.06.12.,비트리 갤러리
28,제킴 : The Creation,2021.05.10.,2021.06.18.,갤러리 포인트
29,넘어지는 건 부끄럽지만 도움이 된다,2021.05.04.,2021.06.30.,교보아트스페이스
30,강주리 : On Stand In Glass Under Cloth,2021.05.18.,2021.06.19.,갤러리조선
31,작아져서 점이 되었다 사라지는,2021.05.20.,2021.07.11.,아트선재센터
32,TONG's VINTAGE 기묘한 통의 만물상,2021.05.20.,2021.07.25.,대림미술관
33,인 블룸 In Bloom,2021.05.22.,2021.07.25.,하이트컬렉션
34,UNPARASITE,2021.05.18.,2021.08.29.,플랫폼엘
35,백경호 : SERENDIPITY,2021.05.11.,2021.06.12.,드로잉룸
36,스위트 원더랜드,2021.05.20.,2021.06.30.,중랑아트센터
37,이지은 : Focus,2021.05.20.,2021.06.19.,도잉아트
38,안성진 : HORIZON,2021.05.04.,2021.07.04.,식물관 PH
39,소은명 : 감정의 이야기들,2021.05.05.,2021.06.26.,아트숨비센터
40,"나무, 천년이 되어",2021.05.08.,2021.06.20.,용산공예관
41,징울 개인전,2021.05.03.,2021.06.12.,스페이스mm
42,"I, Fontana : 폰타나를 만나다",2021.05.22.,2021.07.24.,테사
43,윤진섭 : 아트 오브 도플갱어,2021.05.13.,2021.06.16.,김달진미술자료박물관
44,층(層)_고요하며 깊다,2021.05.27.,2021.06.30.,아트프로젝트 씨오
45,정소윤 : 고요의 순간,2021.04.30.,2021.06.20.,식물관 PH
46,"시작, 새로운 도약",2021.05.11.,2021.07.11.,갤러리까르찌나
47,2021 금호영아티스트 - 2부,2021.04.30.,2021.06.06.,금호미술관
48,"1952, 아주 보통의 나날들",2021.04.29.,2021.07.18.,전쟁기념관 2층 기획전시실
49,장프루베: 더 하우스,2021.05.11.,2021.06.11.,갤러리 L993
50,"김종영의 통찰과 초월, 그 여정",2021.05.07.,2021.06.27.,김종영미술관
51,이지연 : 기억의 걸음,2021.05.21.,2021.06.30.,레이블갤러리
52,김건주 : Portraits of a Day,2021.05.01.,2021.06.27.,에비뉴엘아트홀
53,5월의 산책로 야외조각전,2021.04.30.,2021.06.06.,스위스 그랜드 호텔
54,이성미 : 기억의 여행,2021.04.30.,2021.06.04.,노블레스 컬렉션
55,갤러리탐 43기 : 김소현 개인전,2021.04.05.,2021.07.05.,탐앤탐스 블랙그레이트점
56,갤러리탐 43기 : 한지민 개인전,2021.04.05.,2021.07.05.,탐앤탐스 블랙 파드점
57,갤러리탐 43기 : 신상우 개인전,2021.04.05.,2021.07.05.,탐앤탐스 창동본점
58,갤러리탐 43기 : 강은진 개인전,2021.04.05.,2021.07.05.,탐앤탐스 탐스커버리 건대점
59,갤러리탐 43기 : 김승수 개인전,2021.04.05.,2021.07.05.,탐앤탐스 역삼2호점
60,갤러리탐 43기 : 심성희 개인전,2021.04.05.,2021.07.05.,탐앤탐스 블랙 청담점
61,갤러리탐 43기 : 정수진 개인전,2021.04.05.,2021.07.05.,탐앤탐스블랙 압구정점
62,강영민 : Litmus test,2021.04.22.,2021.06.23.,식물관 PH
63,Jonathan Gardner : Horizon,2021.04.22.,2021.06.15.,제이슨함
64,가평 70 : 캐나다 6·25전쟁 참전용사들을 위한 헌사,2021.04.21.,2021.06.30.,전쟁기념관 3층 UN실
65,이창원 : 평행한 두 세계 Parallel Worlds,2021.05.07.,2021.08.08.,성곡미술관
66,예술의 시간 미래전 : ARTIST PROLOGUE 2021,2021.04.22.,2021.06.26.,아트센터 예술의 시간
67,김혜련 : 예술과 암호-고인돌의 그림들,2021.04.29.,2021.06.11.,슈페리어갤러리
68,한경우: Anechoic Figures,2021.04.15.,2021.06.19.,갤러리 시몬
69,"시대의 얼굴, 셰익스피어에서 에드 시런까지",2021.04.29.,2021.08.15.,국립중앙박물관
70,재난과 치유,2021.05.22.,2021.08.01.,국립현대미술관 서울
71,픽셀: 무한한 공간,2021.04.30.,2021.06.12.,신한갤러리
72,취미로 전시합니다.,2021.04.01.,2021.06.30.,하비
73,호민과 재환,2021.05.18.,2021.08.01.,서울시립미술관
74,아름다움은 자란다,2021.04.06.,2021.06.06.,설화수 플래그십스토어
75,Personal Life,2021.04.09.,2021.06.13.,에브리데이몬데이 갤러리
76,Fortune Telling: 운명상담소,2021.04.16.,2021.07.11.,일민미술관
77,그 가운데 땅 : 시간이 펼쳐져 땅이 되다,2021.04.22.,2021.06.13.,아르코미술관
78,황재형 : 회천(回天),2021.04.30.,2021.08.22.,국립현대미술관 서울
79,회복을 위한 예술 : 도봉의 사람이야기를 담다,2021.04.05.,2021.07.23.,씨알방학간
80,마이클 런드그렌 : Geomancy,2021.04.17.,2021.06.26.,한미사진미술관
81,라이프 사진전 : 더 라스트 프린트,2021.05.11.,2021.08.21.,세종문화회관 미술관
82,True to New Perception : 우행(牛行)_Amulet展,2021.03.30.,2021.06.19.,시그니처키친스위트 청담쇼룸
83,Mustafa Hulusi : Blossoms in Spiritual Time,2021.03.15.,2021.06.30.,eligere gallery
84,심학철 : 기억연변,2021.04.09.,2021.06.06.,MoPS
85,김정기 : 디아더사이드,2021.04.16.,2021.07.11.,롯데뮤지엄
86,박주연 : 언어 깃털,2021.03.26.,2021.06.06.,아뜰리에 에르메스
87,김승영 : 땅의 소리,2021.03.25.,2021.06.27.,성북구립미술관
88,해와 달 : 일월,2021.03.23.,2021.06.26.,성북구립 최만린미술관
89,"맥스 달튼, 영화의 순간들",2021.04.16.,2021.07.11.,마이아트뮤지엄
90,클리웅 : THE SMILE,2021.03.16.,2021.06.16.,더라이브러리 명일역지점
91,장줄리앙 : 다시 안녕,2021.04.01.,2021.06.06.,알부스갤러리
92,여행갈까요,2021.03.05.,2021.09.26.,뚝섬미술관
93,ANDY WARHOL : BEGINNING SEOUL,2021.02.26.,2021.06.27.,더현대서울
94,2021 딜라이트 서울,2020.12.18.,2021.06.30.,안녕인사동
95,뮤지엄 오브 컬러,2020.12.24.,2021.08.29.,63아트
96,팀랩: 라이프 (teamLab: LIFE),2020.09.25.,2021.08.22.,동대문디자인플라자
97,The brightest coffee at the darkest place,2021.05.25.,2021.07.25.,Vrew Coffee 동래점
98,IN · OUT,2021.05.28.,2021.07.10.,갤러리퍼플
99,화성ICT생활문화센터 개관기념 미디어아트 전시회,2021.06.01.,2021.08.31.,화성ICT생활문화센터
100,"간척지, 뉴락, 들개와 새, 정원의 소리로부터",2021.05.21.,2021.07.25.,인천아트플랫폼
101,루씨쏜 : The story of JeJu,2021.05.19.,2021.06.20.,갤러리 아트숲
102,BLEND,2021.05.21.,2021.07.14.,굿굿웨더
103,"봄날, 부처님 나투시다",2021.05.18.,2021.08.29.,부산박물관부산관
104,"업사이클 다시, 봄",2021.04.17.,2021.06.30.,광명업사이클아트센터
105,Jeremy Thomas : aromatic,2021.05.13.,2021.07.31.,워킹하우스뉴욕
106,제이미 리 : Wish You All the Best,2021.05.16.,2021.08.15.,아트센터 화이트블럭
